comentario	usuario	ciudad	puntaje	fecha_viaje	link
Avión espacioso y comodo. Vuelo tranquilo, no notas el mínimo movimiento en el avión. Personal amable y en algunos de los vuelos hay azafat@s que hablan bastantes idiomas. La comida bien aunque mejorable. Realicé varios vuelos y quedé muy satisfecha en general con todos ellos.	krislofe	Barcelona, España	5	agosto de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r629484953-Emirates-World.html#REVIEWS
Hice varios vuelos, y la verdad es que muy bueno el servicio. Comida abundante y rica. Los cabin crew muy amables y predispuestos... a excepción de dos, en el mismo vuelo (que por suerte era corto) porque ahi es donde se nota la diferencia entre un buen y un mal servicio. Entretenimiento a bordo variado (muchas pelis, musica, juegos, etc). Hice vuelos larguísimos, y a pesar de ello, por la buena predisposición de los tripulantes y el buen servicio, se hicieron muy amenos	1905_Maria_1905	Rosario, Argentina	4	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r629410969-Emirates-World.html#REVIEWS
me encantò viajar por emirates! lo recomiendo ampliamente. la calidez con la que te tratan y los alimentos muy buenos!	Cony B	Badalona, España	4	noviembre de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r629249151-Emirates-World.html#REVIEWS
Avion A380, comodo y moderno. La comida que sirven está bien... lo que más criticaría sería la llegada a Dubai, sin finger, autobus y al menos estás 20 minutos en un autobus... mejorable! El regreso todo lo contrario, rapido embarque etc. La compañía es genial desde el inicio , donde facturas maletas casi sin hacer cola.	0riol1977	Badalona, España	4	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r629113035-Emirates-World.html#REVIEWS
Buen vuelo pero enbarque y desembarque incómodo ya que este vuelo no uasa mangas. También para los vuelos de Santiago a Dubai y visiversa no usa mangas en el aeropuerto de Dubai lo que hace muy incómodo el embarque y desembarque	Oscar G	Santiago, Chile	3	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r628168973-Emirates-World.html#REVIEWS
En general bueno y bueno el servicio. Es un viaje muy largo que hace escala en Sao Pablo. De vuelta, aun que viajábamos de día, no nos dejavan abrir las cortinas, por lo tanto hacen todo el viaje como de noche lo que no es agradable.	Oscar G	Santiago, Chile	4	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r628163008-Emirates-World.html#REVIEWS
He viajado 3 veces con Emirates, y si bien han sido siempre vuelos cortos (desde Bs As a Rio de Janeiro); la atención del personal y el servicio a bordo es muy bueno; el menú es muy competo pudiendo elegir entre un par de opciones y lo mas importante es el espacio que hay entre los asientos (hablo de clase turista) para poder estirar las piernas y viajar muy cómodo sobre todo en viajes largos. La puntualidad es siempre una regla y la simpatía del personal (con algunos altos y bajos, pero creo que es normal) es de destacar	Roberto M	Buenos Aires, Argentina	5	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r627864345-Emirates-World.html#REVIEWS
Muy buena atención del personal de abordo al igual que el servicio de comidas. Destaco especialmente la labor de los pilotos por el excelente despegue y aterrizaje	Ana Maria F	Buenos Aires, Argentina	5	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r627841317-Emirates-World.html#REVIEWS
Realmente una aerolínea muy linda y cómoda. Las azafatas de una cordialidad y simpatía especial y y todo el servicio muy bueno. Los horarios puntuales. Excelente experiencia.	afrank914	Buenos Aires, Argentina	5	noviembre de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r627573787-Emirates-World.html#REVIEWS
Excelente avion, cómodos asientos, con espacio para los pies, muy buena comida y atención. Adicionalmente cada asiento en economy tenia una pantalla grande de alta definición, con una serie de películas increíbles, imposible aburrirse. LO MEJOR	RBCH-1	Santiago, Chile	5	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r627040131-Emirates-World.html#REVIEWS
La comida y los aviones muy muy bien la verdad. Nuevos, limpios, baños chulos. La atención de las azafatas bien también. Como comentarios negativos: mi me hicieron facturar la mochila que pesaba 8Kg, cuando mi idea era no hacerlo. Te ponen un máximo de 7kg para el equipaje de mano (mi mochila pesaba 8 pero me hicieron ponerla encima de una caja y subió a 10kg). Antes había viajado con otras compañías en plan mochilera y siempre las he llevado conmigo, nunca me han puesto límite de peso. Y mi mochila es de tamaño pequeño/medio. Además, se dejaron mi mochila en el vuelo anterior cuando hicimos escala y me dijeron que me la harían llegar al hotel donde me alojaba ese mismo día por la tarde, a las 20h (nosotros llegamos por la mñna). Insistí y me lo aseguraron!!!! La maleta no me llegó ese día, llamé al día siguiente a el número que me dijeron (llamé como 10 veces, no contestaban) y me dijeron que no pudo llegar pero que ese mismo día por la tarde la tendría. Me puse de muy mala leche, porque ya no me creía nada... Pero finalmente llegó (como comentario positivo, agradezco que me la hicieran llegar a una ciudad que estaba a 2h del aeropuerto). Y para más INRI, me encuentro que está rota la cuerda del cierre. En fin...toda una aventura... Aún así no descarto volver a viajar con ellos, supongo que fué mala suerte. Sin embargo he de decir que los amigos con los que viajaba estuvieron encantados!	676mireiaf	Palafolls, España	3	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r626777003-Emirates-World.html#REVIEWS
Todo el viaje fue muy comodo a pesar de ser un vuelo tan largo y con escala intermedia en Dubai de 3 horas, sin embargo la atención esmerada del personal muy amables a cualquier requerimiento, el asiento tambien muy comodo y con espacio suficiente para las piernas a pesar de ser servicio económico. Lo mas sorprendente es que a pesar de ser un avión enorme de 2 pisos como el Air bus A380 el aterrizaje fue super suave que casi no lo senti gracias tambien a la pericia del piloto. La alimentación con 2 opciones de almuerzo y cena cumplieron con las espectativas sin ser sobresalientes pero muy agradables. La pantalla de películas y entretenimiento era enorme la mas grande que vi en un vuelo comercial.	enzabe	Lima, Perú	5	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r626643095-Emirates-World.html#REVIEWS
Vuelo fantastico atentos al maximo y en el cielo con ellos las horas pasan muy rapido muchas gracias por ser como sois por lo atentos que estais y por hacer ese gran esfuerzo . Todos atentos a cualquier cosa que se necesite . Gracias	lanjaron123	Madrid, España	5	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r626148909-Emirates-World.html#REVIEWS
Muy buena experiencia de viaje, el único punto en contra es la parada en Rio de Janeiro, pero salvo esa escala técnica a pesar de ser un vuelo muy extenso el servicio y la atención a bordo es de lo mejor	srzambrano	Puerto Madryn, Argentina	4	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r626075774-Emirates-World.html#REVIEWS
Llevo varios años viajando con esta compañia hacia Asia y la verdad que aunque encuentro que los servicios que prestan no son comparables a los de otra compañía aérea, he podido observar la decadencia en cuanto a detalles y comida se refiere. Mo comí apenas nada en un viaje de 13 horas. Deben mejorar bastante.	Xiscos20	Mallorca, España	2	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r626004967-Emirates-World.html#REVIEWS
Vuelo realizado a horario y agradable. Personal atento y muy buena limpieza y comida. Sin observaciones para formular.	Tonycas2015	Buenos Aires, Argentina	4	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r625897743-Emirates-World.html#REVIEWS
Excelente atención y puntualidad.Un placer viajar en esta aerolínea, con personal que habla nuestro idioma, facilitando la comunicación.Un detalle: el catering de Buenos Aires a Dubai -preparado en Río de Janeiro- no es tan bueno como el que sirven en el tramo Dubai-Buenos Aires.Este es muchísimo mejor.	Tabanito	General Roca, Río Negro, Argentina	5	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r625847476-Emirates-World.html#REVIEWS
Vuelo EK 385 (14 oct.) Nos asignaron los asientos en la fila 64,prácticamente delante (grupo E) A mi me toco pasillo, a mi pareja en medio y en ventanilla iba sentado un chico obeso...se supone que por normativa una persona obesa debería de haber comprado dos asientos pero no fue asi. El chico prácticamente no cabia en el asiento, cada vez que se movia, porque evidentemente estaba incomodo, nos movia a también nosotros, solo habían transcurrido 10 minutos desde que habíamos despegado e iba a ser un vuelo de casi 7 horas... Tuve la suerte de que la azafata con la que hablé era la sobrecargo. Automáticamente se dio cuenta de la situación y nos ubico en los asientos fila 41,delante del todo (cabina de turista). Realmente fue muy amable, no recuerdo su nombre pero creo que era de la India. Desde aqui gracias. Desde este foro quiero dar las gracias a todas aquellas personas que aman su trabajo y que lo realizan con mucho respeto y cariño hacia el cliente.	geli_courel	Arrecife, Spain	5	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r625675997-Emirates-World.html#REVIEWS
No se os ocurra volar con Emirates. Llegas a destino, te pierden la maleta. Se tiran un mes y pico “buscándola”, para decirte luego que, la maleta llegó a destino....(y te pasas un mes buscándola, si lo tienes tan claro????). Y SE NIEGAN A COMPENSARTE DE NINGUNA FORMA. SIGO LUCHANDO, PORQUE SON UNOS LADRONES!!!!!!	noeliat88	España	1	julio de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r625627567-Emirates-World.html#REVIEWS
Decidi viajar a la India en esta compañia y la verdad he quedado muy contento. Embarques rapidos, he tenido que hacer Madrid-Dubai-Delhi. Personal amable y resolutivo. Aviones modernos A-380, suficiente espacio entre asientos. Entretenimiento muy bueno, amplia variedad. Comida, teniendo en cuenta que tipo de comida es, suficiente.	misteryshopper00	España	4	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r625343362-Emirates-World.html#REVIEWS
Contratamos con Emirates con altas expectativas. El resultado de nuestra experiencia es que Emirates es igual que casi todas las compañías, sin nada especial a destacar. El avión perfecto, un Airbus A380 800, pero claro eso no depende de ellos. Amabilidad la justa, la comida como todas, ni mejor ni peor, y confort el que da el avión que toca. En fin, normal y corriente.	1954karlos	Barcelona, España	3	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r625286742-Emirates-World.html#REVIEWS
En la carta del menú que te dan incluye cena y desayuno...nos hemos quedado todos sin desayuno no se sabe por qué. El vuelo ha ido perfecto y había una azafato español que ha sido encantador, súper amable! Solo dos pegas: que no han servido desayuno y que si la conexión es con Iberia no puedes sacar las tarjetas de embarque online por Emirates ni iberia te las puedes sacar desde tu origen si vuelas con ellos porque no tienen acuerdo.	Coastal728095	Palma de Mallorca, España	3	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r625255368-Emirates-World.html#REVIEWS
Buenos Aires Dubai con escala en Rio de Janeiro en total unas 18 horas, por lo que si no se disponen de ciertas comodidades se haria imposible de soportar, pero Emirates lo consigue con buena atencion, excelente servicio de entretenimiento en mil idiomas, 4 comidas y servicio de snacks y bebidas durante todo el vuelo, el avion con una conformacion de 3 4 3 se hace comodo si no te toca un medio, los baños son suficientes y siempre estan impecables, los amenitis impecables, auriculares muy comodos, manta, anteojeras, auditivos, cepillo de dientes con pasta, cremas y toallas higienicas, en fin todo lo necesario para un vuelo comodo y tranquilo, el viaje en general casi sin turbulencias, realmente fue impecable.	Norberto N	Buenos Aires, Argentina	5	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r625130863-Emirates-World.html#REVIEWS
Emirates permite disfrutar de una experiencia distinta a muchas lineas aerocomerciales. El trato de su tripulación tiene una calidez que permite disfrutar del vuelo olvidando la cantidad de horas a destino. Sus asientos y el espacio para estirarse permiten gozar de una gran comodidad para descansar en clase económica. El menú merece un párrafo aparte por tener un excelente nivel, notandose en su elaboración y presentación el deseo de brindar al pasajero un disfrute total.	Alberto C	Buenos Aires, Argentina	4	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r625095261-Emirates-World.html#REVIEWS
Emirates ofrece una buena calidad en su servicio y trato personal. El viaje por largo y pesado que sea, se hace mas suave por las atenciones recibidas. Los aviones son muy correctos.	jvicenthino	Barcelona, España	5	agosto de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r624924986-Emirates-World.html#REVIEWS
Volar con Emirates es una experiencia que todos los que nos gusta viajar deberíamos poder tener alguna vez. Mi primer contacto fue telefónico para solicitar un tipo de alimentación especial y no recibí más que palabras amables, excelente predisposición y profesionalismo. Desde el ordenado embarque, la acomodación en el avión, la ayuda técnica ante una pregunta mía, la colaboración la auxiliar para colocar la valija de cabina, todo fue fantástico. ¡Ni que decir de la puntualidad!!! Despegó exactamente a las 21.30. Si bien realicé un vuelo corto (2.50 horas) ví que todo funcionaba, la cabina estaba muy limpia y aún siendo clase económica, tenía todo lo necesario y más. Con respecto a la comida, muy sabrosa y abundante. El retorno fue exactamente igual, impecable. Si mi presupuesto me lo permite, me encantaría hacer un trayecto largo en esa aerolínea.	Maria Laura G	Buenos Aires, Argentina	5	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r624826873-Emirates-World.html#REVIEWS
Tuvimos la inmensa suerte de que nos subieran de clase y hay que reconocer que la clase business de esta compañía es excepcional. No solo por el espacio del asiento sino muy especialmente por la atención del personal de cabina que en todo momento está pendiente de garantizar la comodidad del pasaje.	Nuria_Pueyo	Barcelona, España	5	agosto de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r624797585-Emirates-World.html#REVIEWS
Cuando uno tiene que estar dentro de un avión por 20 hrs., la clase turista debe ser diferente a la típica de la mayoría de las líneas aéreas. Emirates tiene una clase turista fuera de lo común, realmente cómoda y con un servicio excelente. Felicitaciones	Carlosmusalem	Viña del Mar, Chile	5	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r624717663-Emirates-World.html#REVIEWS
Me pregunto si la autoridad de Emirates tiene alguna opinión sobre mi comentario anterior en viaje a Dubái También he leído comentarios de otros usuarios que son muy buenos y que de seguro son reales. PERO , Ya veo que la mayoría son pasajeros que viajaron en el Airbus 380 Me pregunto dos cosas 1. Que opina el viajero frecuente con experiencia cuando ha viajado en el Boeing 777 2.- Que opinan los viajeros de chile argentina y Brazil que han viajado a Dubái en el mismo Boeing 777. Me gustaría saber su opinión para estar seguro si es real mi percepción de Emirates o pueda cambiar o mejorar Juan Edo Contreras Viajero frecuente	juaneduardoc2018	Santiago, Chile	3	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r624682879-Emirates-World.html#REVIEWS
Excelente servicio, muy buena comida, buen espacio en cómodos asientos, Conexión en Dubai cómoda y fácil	escancio	Ciudad de México, México	5	agosto de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r624553052-Emirates-World.html#REVIEWS
Aviones muy buenos, bastante espacio entre los asientos, el personal muy amable y discreto, la única pega es la comida, no la considero a la altura de esta compañia	Antonio R	Sevilla, España	5	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r624515575-Emirates-World.html#REVIEWS
Creo que es la mejor compañía con la que he volado ajustada amplitud en los asientos un trato del personal de cabina excelente y un servicio puntual. Pantallas con sistema de entretenimiento individual con todo tipo de películas,juegos, música, etc... Recomendable	ARH8791	Dubái, Emiratos Árabes Unidos	5	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r624304569-Emirates-World.html#REVIEWS
Es el segundo viaje que hacemos en esta compañía y la verdad que es genial. Yo tengo una dieta especial y sólo con decirlo al sacar el vuelo te la sirven ya sin preguntar nada. Los asientos son cómodos y hasta en clase turista se viaja muy bien. La recomiendo a todo el mundo	GemaS57	Santander, España	4	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r624162494-Emirates-World.html#REVIEWS
Volar con Emirates es otra dimensión. Es paradógico que tengas que volar en una compañía árabe para que en clase turista te den licores gratis. Los aviones están impecables, cómodos la comida es mucho mejor que en las otras compañías . . . y si además te toca, como a mi, volar en el A-380 ya es el no va más.	Agustín Z	Cambrils, España	5	noviembre de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r624098616-Emirates-World.html#REVIEWS
La mejor aerolinea para viajar sin dudas, excelente atención. La crew es muy atenta, siempre dispuestos a ayudar y resolver todas tus dudas!	César Gabriel G	Barcelona, España	5	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r624019983-Emirates-World.html#REVIEWS
Al ir a coger el vuelo en Yakarta con Emirates, nos dicen que nuestros vuelos han sido revendidos ya que por los retrasos de los vuelos a la ida ( Barcelona-Yakarta) de otras compañias, y que no podíamos embarcar. Estuvimos 15 horas en el aeropuerto sin respuesta, sin recolocarnos, sin ninguna solucion. Tuvimos que comprar un vuelo para volver. Pésima gestión. A día de hoy seguimos sin ninguna respuesta y nos han denegado cualquier indemnización.	Sil S	Barcelona, España	1	noviembre de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r623935611-Emirates-World.html#REVIEWS
Era la primera vez que cogia un air bus 380 de dos pisos, aparte de sorprender lo grande del avión, me agrado mucho la distancia entre filas de asientos ( cómodo para piernas largas) la atención del personal muy buena y lo mejor de todo es el sistema de entretenimiento, con una pantalla enfrente de unas diez pulgadas y un menú de películas, juegos, música etc, también puedes hacer un seguimiento del recorrido del vuelo y ver a través de cámaras ( en cola, abajo y frente) el despegue y aterrizaje.	andoni d	San Sebastián - Donostia, España	4	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r623803050-Emirates-World.html#REVIEWS
A destacar la comodidad del avion buen espacio entre asientos una gran variedad de entretenimiento, y la tripulación muy atenta lo unico negativo es que tenian el aire acondicionado muy fuerte, pero por todo lo demas un 10 sin duda volveremos a volar con ellos	jsaumell38	Mataró, España	5	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r623791782-Emirates-World.html#REVIEWS
Asientos mas amplios que otras aerolineas. Menu y bebidas buenas. El servicio de entretenimiento ICE es el mejor que te puedes encontrar hoy en dia.	AlfonsoGMateos	Mieres, España	5	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r623537013-Emirates-World.html#REVIEWS
Avión muy cómodo. Asientos con más espacio. Buena comida, respetaron todas mis solicitudes gluten free. Los sobrecargos descuidados, pasaban ofreciendo agua o jugos caminando muy rápido y no se alcanzaba a pedir si uno no los veía antes. Bromeaban entre ellos riéndose fuerte mientras algunos pasajeros dormían.	CyVera	Santiago, Chile	4	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r623512220-Emirates-World.html#REVIEWS
No tiene nada que ver con el Airbus 380/800. La comodidad depende mucho también de la configuración de la cabina, lo habian apretujado mucho por eso me senti como una sardina enlatada, en un par de horas no se nota mucho pero en 6 o 7 horas se nota la incomodidad. La comida bien al igual que el personal de cabina. El trayecto se me hizo largo.	geli_courel	Arrecife, Spain	3	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r622819138-Emirates-World.html#REVIEWS
Volamos en el Airbus 380/800,el avion de pasajeros mas grande del mundo. Clase turista. Asientos amplios y muy cómodos teniendo en cuenta que es clase turista. Con pantalla donde se puede ver un sinfin de peliculas en varios idiomas, escuchar musica... Te dan mantita, auriculares y un cojin pequeño. La comida se puede elegir (con antelación en la opcion modificar reserva) entre una variedad amplia: vegano, fruta etc (incluido en el precio del billete). Se puede pedir cerveza, vino blanco y tinto tambien incluido en el precio. Trato cordial. Vuelo entretenido y comodo	geli_courel	Arrecife, Spain	4	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r622817919-Emirates-World.html#REVIEWS
Decidi viajar a Dubai en Emirates basicamente por la influencia de la publicidad que la muestra como la mejor aerolinea y que el viajero goza de privilegios y benificios unicos y supremos (....) ¡¡ . Veamos si es realidad o solo MITOS . 1.- El pasajero Bussiness tiene derecho a Limusina de cortesia de la casa al aeropuerto y visciversa. Este beneficio funciono pero no me confirmaron la hora de recogida en todos los tramos. Gracias a mi agencia logre saber a que hora y si estaba la recogida confirmada . Nota : 2 ( de 1 a 7 ) 2.-Una vez en la cabina del avion constatamos que las caracteristicas de los asientos e infraestructura no tenia diferencia con otras aerolineas y me atreveria asegurar que son inferiores ( He viajado en Bussiness en muchas aerolineas) De acuerdo a mi categorizacion primero dista mucho de ser la mejor y yo la ubicaria en mi ranking en el puesto 8 de la categoria Bussiness . Yo esperaba cubiculos mas indibiduales como los tienen otras aerolineas ( esta cabina es de un 777 que por las caracteristicas no es de ultima generacion y que recomendaria modernizar como lo han hecho otras aerolineas americanas y europeas . Respecto al material aéreo este vuelo es en el Boing 777-300 y me he enterado que la clase Business del Airbus 380 que no llega a chile pero que llega a Sao Paulo es de mejor calidad, Algo insólito que una misma aerolínea tiene dos categorías de business según el tipo de avión . Por si no se entiende la misma categoría - en este caso Business - para un mismo trayecto y en una misma aerolínea. (???¡¡¡) ( esto no lo he observado en otras aerolíneas Nota 3 3.- Comida no esta a la altura de el gourment que se asegura en la publicidad. Se salva el vino que es de buena calidad Nota 4 4.- Entretencion muy mala. Joystick del control remoto incomodo y no apto para todo publico. Letras en el monitor muy pequeñas. No se ven bien desde la posicion sentados y menos acostado. Cartelera de peliculas muy mala , antigua, obsoleta y titulos exageradamente de origen oriental. Musica peor. Nada actualizado. Tiene un control remoto y una minipantalla tipo domotica que no tiene utilidad y que recomendaria eliminar. Seria mejor un buen control remoto nada mas. Nota 4 5.- WI-FI- un fraude se promociona como de uso libre ( lo que ,me tenia muy contento cuando me entere ). Sin embargo solo el Free solo es de dos horas y con una capacidad minima para navegar. Terminada las dos horas se otfrece internet de calidad y permanente pero de costo que si bien no es caro no me parecio justo pagar por algo que se me ofrecio sin costo al comprar el tikets Nota 1 6.- Atencion del personal no personalizado como otras aerolineas y en todo momento el personal lo hace todo " Corriendo " como si no hubiese tiempo en un vuelo que es de 20 horas en total, considerando la escala en Sao Paulo. Ojo en un vuelo de largo alcance es cuando mas se debe esmerar el servicio en otorgar el maximo de beneficios y atenciones.Esto no fue mi experiencia. En una frase podria resumir el servicio en : " Coman rapido, no molesten y duerman todo lo mas posible ( ??¡¡¡). Incluso para cumplir con esa estrategia todo el vuelo fue con las luces de la cabina apagadas, lo que no permitia leer bien o visualizar las cosas personales con facilidad. Aclaro que en otros vuelos especialmente nocturnos -de tramos mas cortos-que suelo hacer con frecuencia las luces estan casi todo el viaje apagadas. Me parece bien en esos casos, pero en un viaje de 20 horas que es muy largo y que pasa por diferentes husos horarios no es conveniente mantener la luz apagada todo el viaje. Nota 3 7.- Finalmente en el regreso vuelo EK 263 del 30 de Septiembre 2018 constatamos que el counter de Check In esta demasiado lejos del salon VIP y del Gate C-7 para embarque. Esto , algo que se podría mejorar o quizás debe ser así porque un vuelo a Sud America no tiene la misma importancia que otros destinos. Nota 3 EN SUMA COSTO- BENEFICIO NO FUE BUENO PARA MI EVALUACION FINAL MI EXPERIENCIA EN EMIRATES ME HA DEJADO COMO SALDO POSITIVO QUE HE LOGRADO PARA MIS DECISIONES FUTURAS HABER DERRIBADO MUCHOS MITOS DE LO QUE APARECE SER UNA DE LAS MEJORES AEROLINEAS DEL MUNDO	juaneduardoc2018	Santiago, Chile	3	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r622749007-Emirates-World.html#REVIEWS
Avion muy bien decorado, limpio, amplio , espacio entre asientos bastante bien, comida buena para ser de avion, atencion en tierra bastante buena y eficiente, azafatas siempre con una sonrisa, uniforme impecable.	Fernando N	Jaén, España	4	abril de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r622434271-Emirates-World.html#REVIEWS
Fuimos Madrid - Dubái y Dubái - Hanoi. Los vuelos fueron perfecto, puntuales. El avión amplio, comodo para la cantidad de horas de vuelo. La comida estaba muy bien, te dan a elegir entre dos platos. El programa de entretenimiento está muy bien y el personal fue super amable. Sin duda volvería a volar con Emirates	Esperanzapm	Jaén, España	4	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r622286944-Emirates-World.html#REVIEWS
Airbus 380 , limpio , cuidado , con espacio , el personal de vuelo educado , con sonrisa siempre , atento y profesional. Vamos si lo comparamos con Vueling o Iberia es como un hotel de 5 estrellas y un motel de carretera ( mucho tienen que aprender )	mcgregorr	A Coruña, España	5	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r622206291-Emirates-World.html#REVIEWS
Estoy viajando hace años y he tenido la oportunidad de viajar en diferentes aerolíneas , esta ha sido la primera vez en Emirates y me sorprendido gratamente . Viaje ida y regreso a Dubai y ha sido todo un placer y un agrado . El avión fantástico, muy cómodo, elegante , espacioso ; la comida exquisita, la atención de los tripulantes espléndida . No me cabe la menor duda que mis próximos viajes los realizaré en Emirates Airline . Me encanto .	MITZUKO	SANTIAGO	5	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r622202817-Emirates-World.html#REVIEWS
Puntuales, personal atento, servicio de catering celiacos muy bueno. Nos asignaron un mal asiento,, en cuanto se acomodo todo el pasaje, la azafata nos traslado a un sitio mas comodo.	MonchitaBuenosAires	Buenos Aires, Argentina	5	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r622108142-Emirates-World.html#REVIEWS
Ahora se porque siempre ganan el premio de mejor línea aérea. El trato es exquisito, el servicio on board buenísimo, la comida buena y el entretenimiento variada.	DKL57	Maspalomas, España	5	noviembre de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r622087048-Emirates-World.html#REVIEWS
Emirates ya no es lo que era. Se nota que han recortado servicios en clase turista. Lo que no me gustó del vuelo fue, que pese a que en teoría el vuelo solo hacia escala en Dubai, hizo una escala antes en Colombo (Sri Lanka) de esas en las que se baja gente del avión, limpian el avión (contigo dentro y sentado), sube gente y vuelves a volar. En total hora y media de parada no especificada en mi billete. El viaje se hizo mucho más largo. Solo había hecho otro viaje con ellos (A Tokio) hace unos 5 años, y fue bastante peor, sobre todo el trayecto Singapur-Dubai que fue en un 777 y no en un A380.	Bernardo C	Santiago, Chile	3	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r621890668-Emirates-World.html#REVIEWS
Viajar con Emirates es un lujo. Aviones impecables, cómodos, con amplio espacio entre asientos. El personal de a bordo eficiente y profesional. La comida exquisita. Embarque sin colas ni aglomeraciones. La mejor experiecia.	isabel_margarita2013	Santiago, Chile	5	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r621848474-Emirates-World.html#REVIEWS
Entorno cálido y confortable dentro de cabina. Servicio de comidas de muy buen nivel. Muy amable el personal de a bordo.	Meander744215	Barcelona, España	5	mayo de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r621570947-Emirates-World.html#REVIEWS
Excelente atencion del personal de cabina. Avion muy confortable con amplia oferta de entretenimiento. Recomendable probar la experiencia Emirates. Recordar preguntar si la escala en Dubai es larga si incluye hotel pago	Pablo A	Barcelona, España	5	julio de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r621549905-Emirates-World.html#REVIEWS
Excelente vuelo, cómodo, esmerada atención, exquisito menú, experimentada tripulación, una gran aeronave con segundo piso, amplia oferta de entretenimiento.	Freddy H	Barcelona, España	5	septiembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r621484845-Emirates-World.html#REVIEWS
Era un vuelo de 14 horas. La comida es normal... he ido en vuelos con mejor comida y los snacks te levantas a buscarlos. Estaba lleno y pusieron el aire acondicionado muy muy frio, yo estaba acatarrada y entre el frio y que estaba en última fila y la gente venía a estirar las piernas y hablar justo detrás de mi asiento, no pude dormir nada en las 14 horas. 20 minutos antes de aterrizar te recogen auriculares y manta, nunca había pasado tanto tanto frío en un vuelo.	silvialopezl88	Barcelona, España	2	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r621144409-Emirates-World.html#REVIEWS
